State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,19/08/2024,8600,8800,8700
Andhra Pradesh,Kurnool,Nandyal,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,19/08/2024,5500,5500,5500
Himachal Pradesh,Bilaspur,Bilaspur,Onion,Other,FAQ,19/08/2024,4000,4200,4100
Himachal Pradesh,Kangra,Kangra,Onion,Other,FAQ,19/08/2024,4200,4500,4300
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Onion,1st Sort,FAQ,19/08/2024,4500,4600,4550
Karnataka,Koppal,Kustagi,Green Gram (Moong)(Whole),Hybrid,FAQ,19/08/2024,6900,7210,7000
Kerala,Kottayam,Athirampuzha,Onion,Big,FAQ,19/08/2024,4300,4500,4400
Kerala,Kottayam,Ettumanoor,Onion,Big,FAQ,19/08/2024,4200,4600,4400
Kerala,Kottayam,Ettumanoor,Potato,Potato,FAQ,19/08/2024,4400,4600,4500
Kerala,Kottayam,Kottayam,Green Gram (Moong)(Whole),Other,FAQ,19/08/2024,10500,12500,11500
Kerala,Kottayam,Pala,Onion,Onion,FAQ,19/08/2024,7500,8600,8000
Kerala,Kozhikode(Calicut),Kallachi,Onion,Other,FAQ,19/08/2024,4000,4400,4200
Kerala,Malappuram,Manjeri,Green Gram (Moong)(Whole),Bold,FAQ,19/08/2024,11500,11600,11550
Kerala,Thirssur,Kodungalloor,Onion,Other,FAQ,19/08/2024,4100,4500,4200
Kerala,Thiruvananthapuram,Pothencode,Onion,Other,FAQ,19/08/2024,25300,25380,25340
Madhya Pradesh,Ujjain,Ujjain,Potato,Chips,FAQ,19/08/2024,2200,2200,2200
Manipur,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,19/08/2024,9500,10000,9750
Manipur,Bishnupur,Bishenpur,Onion,Onion,FAQ,19/08/2024,5500,6000,5750
Manipur,Bishnupur,Bishenpur,Potato,Other,FAQ,19/08/2024,4000,4500,4250
Manipur,Imphal East,Lamlong Bazaar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,19/08/2024,17000,18000,17500
Manipur,Imphal East,Lamlong Bazaar,Masur Dal,Masur Dal,FAQ,19/08/2024,9000,10000,9500
Manipur,Imphal East,Lamlong Bazaar,Potato,Other,FAQ,19/08/2024,4000,4500,4250
Manipur,Imphal East,Lamlong Bazaar,Rice,Other,FAQ,19/08/2024,5300,5300,5300
Manipur,Imphal West,Imphal,Black Gram (Urd Beans)(Whole),Black Gram Dal,FAQ,19/08/2024,13000,14000,13500
Manipur,Kakching,Kakching Market,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,19/08/2024,18500,19000,18750
Manipur,Kakching,Kakching Market,Rice,Other,FAQ,19/08/2024,5300,5300,5300
Manipur,Thoubal,Thoubal,Potato,Other,FAQ,19/08/2024,4000,4500,4250
Nagaland,Kohima,Jalukie,Potato,Potato,FAQ,19/08/2024,4000,4500,4200
Punjab,Fatehgarh,Bassi Pathana,Potato,Potato,FAQ,19/08/2024,2000,2200,2100
Punjab,Hoshiarpur,Garh Shankar(Mahalpur),Potato,Potato,FAQ,19/08/2024,1200,1800,1600
Punjab,Jalandhar,Bilga,Potato,Other,FAQ,19/08/2024,1800,2000,1900
Punjab,Muktsar,Bariwala,Onion,Nasik,FAQ,19/08/2024,2800,2800,2800
Punjab,Sangrur,Malerkotla,Potato,Other,FAQ,19/08/2024,1000,1500,1200
Punjab,Sangrur,Sangrur,Potato,Desi,FAQ,19/08/2024,600,1300,1000
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4500,4500
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,6500,7000,7000
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,5000,6000,6000
Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4500,4500
Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4300,4300
Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,6000,6800,6800
Tamil Nadu,Coimbatore,Udumalpet,Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5400,5400
Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5000,5000
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4400,4600,4600
Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,5000,7000,7000
Tamil Nadu,Dindigul,Vedasanthur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4800,5200,5200
Tamil Nadu,Erode,Sathiyamagalam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4500,4800,4800
Tamil Nadu,Kancheepuram,Kancheepuram(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5500,5500
Tamil Nadu,Karur,Karur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Krishnagiri,Avallapalli(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Krishnagiri,Hosur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4000,4400,4400
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Namakkal,Tiruchengode,Potato,(Red Nanital),Local,19/08/2024,4000,4500,4500
Tamil Nadu,Salem,Athur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4500,5000,5000
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4800,5000,5000
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5600,5600
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4500,5000,5000
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4600,4600
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4800,4800,4800
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4800,4800,4800
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Theni,Andipatti(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Theni,Andipatti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4000,4500,4500
Tamil Nadu,Theni,Chinnamanur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4800,4800,4800
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4800,4800,4800
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4000,4000,4000
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4800,4800
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4800,9000,9000
Tamil Nadu,Thiruchirappalli,Thuraiyur,Potato,(Red Nanital),Local,19/08/2024,4000,5000,5000
Tamil Nadu,Thirunelveli,Kandiyaperi(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4400,4600,4600
Tamil Nadu,Thirunelveli,Melapalayam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4400,4600,4600
Tamil Nadu,Thirunelveli,NGO Colony(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4400,4600,4600
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,5000,5000
Tamil Nadu,Thirupur,Dharapuram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4500,7000,7000
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,3800,4200,4200
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,3500,4000,4000
Tamil Nadu,Thiruvannamalai,Arani(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Thiruvannamalai,Cheyyar(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4400,5000,5000
Tamil Nadu,Thiruvannamalai,Keelpennathur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,2500,3500,3500
Tamil Nadu,Thiruvarur,Muthupettai(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5600,5600
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,5400,5400
Tamil Nadu,Thiruvellore,Tiruvallur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4200,4200,4200
Tamil Nadu,Vellore,Vellore,Onion,Bellary,Local,19/08/2024,4000,4400,4400
Tamil Nadu,Villupuram,Gingee(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4500,4500,4500
Tamil Nadu,Villupuram,Tindivanam,Onion,Bellary,Local,19/08/2024,4600,5600,5600
Tamil Nadu,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4500,4800,4800
Tamil Nadu,Virudhunagar,Sathur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Virudhunagar,Thalavaipuram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4000,5000,5000
Tamil Nadu,Virudhunagar,Virudhunagar(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Onion,1st Sort,FAQ,19/08/2024,4400,4400,4400
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Potato,(Red Nanital),FAQ,19/08/2024,3800,3800,3800
Tripura,Dhalai,Gandacharra,Potato,Jalander,FAQ,19/08/2024,4100,4300,4200
Tripura,Gomati,Silachhari,Potato,Other,FAQ,19/08/2024,3800,4000,3900
Tripura,Gomati,Silachhari,Rice,Masuri,FAQ,19/08/2024,4000,4200,4100
Tripura,North Tripura,Dasda,Rice,Masuri,FAQ,19/08/2024,3300,3500,3400
Uttar Pradesh,Balrampur,Tulsipur,Onion,Red,FAQ,19/08/2024,3000,3070,3040
Uttar Pradesh,Gonda,Gonda,Black Gram (Urd Beans)(Whole),Desi,FAQ,19/08/2024,9270,9350,9300
Uttar Pradesh,Gonda,Gonda,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,19/08/2024,10450,10600,10500
Uttar Pradesh,Gonda,Gonda,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,19/08/2024,10175,10300,10200
Uttar Pradesh,Gonda,Nawabganj,Potato,Desi,FAQ,19/08/2024,2340,2400,2380
Uttar Pradesh,Jhansi,Jhansi,Onion,Red,FAQ,19/08/2024,3000,3250,3050
Uttar Pradesh,Jhansi,Moth,Onion,Red,FAQ,19/08/2024,3000,3150,3100
Uttar Pradesh,Prayagraj,Ajuha,Potato,Desi,FAQ,19/08/2024,2240,2380,2300
Uttar Pradesh,Sambhal,Bhehjoi,Potato,Potato,FAQ,19/08/2024,2000,2010,2005
Uttar Pradesh,Sitapur,Viswan,Onion,Red,FAQ,19/08/2024,2890,2930,2910
Uttrakhand,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,19/08/2024,400,600,500
West Bengal,Bankura,Bankura Sadar,Onion,Nasik,FAQ,19/08/2024,4100,4300,4200
West Bengal,Bankura,Bankura Sadar,Potato,Jyoti,FAQ,19/08/2024,2320,2380,2340
West Bengal,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,19/08/2024,4000,4500,4300
West Bengal,Bankura,Bishnupur(Bankura),Potato,Jyoti,FAQ,19/08/2024,2200,2320,2250
West Bengal,Bankura,Bishnupur(Bankura),Wheat,Sonalika,FAQ,19/08/2024,2750,3000,2800
West Bengal,Bankura,Indus(Bankura Sadar),Potato,Jyoti,FAQ,19/08/2024,2380,2450,2400
West Bengal,Bankura,Indus(Bankura Sadar),Rice,Fine,FAQ,19/08/2024,4550,4650,4600
West Bengal,Dakshin Dinajpur,Balurghat,Onion,1st Sort,FAQ,19/08/2024,3800,4000,3900
West Bengal,Darjeeling,Karsiyang(Matigara),Potato,Local,FAQ,19/08/2024,3800,4000,3900
West Bengal,Darjeeling,Karsiyang(Matigara),Potato,Other,FAQ,19/08/2024,3200,3500,3300
West Bengal,Darjeeling,Siliguri,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,19/08/2024,14000,15000,14500
West Bengal,Jalpaiguri,Moynaguri,Potato,Other,FAQ,19/08/2024,2350,2400,2400
West Bengal,Murshidabad,Jangipur,Rice,Fine,FAQ,19/08/2024,3610,3660,3640
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Potato,Other,FAQ,19/08/2024,2600,3300,2950
Haryana,Kurukshetra,Shahabad,Potato,Potato,FAQ,19/08/2024,1010,2000,1200
Himachal Pradesh,Chamba,Chamba,Potato,Other,FAQ,19/08/2024,2400,2600,2500
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Onion,Other,FAQ,19/08/2024,4000,4200,4200
Himachal Pradesh,Kangra,Palampur,Onion,Other,FAQ,19/08/2024,4400,4600,4500
Karnataka,Chikmagalur,Chikkamagalore,Wheat,Other,FAQ,19/08/2024,2500,2500,2500
Karnataka,Raichur,Lingasugur,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,19/08/2024,7150,7600,7300
Kerala,Alappuzha,Cherthala,Potato,Chips,FAQ,19/08/2024,5000,5200,5100
Kerala,Alappuzha,Mannar,Onion,Small,FAQ,19/08/2024,6000,6500,6200
Kerala,Ernakulam,Perumbavoor,Potato,Potato,FAQ,19/08/2024,3500,4500,4000
Kerala,Kannur,Kannur,Coconut Oil,Other,FAQ,19/08/2024,17200,18000,17500
Kerala,Kannur,Taliparamba,Potato,Potato,FAQ,19/08/2024,4300,4500,4400
Kerala,Kollam,Kottarakkara,Onion,Other,FAQ,19/08/2024,5000,5000,5000
Kerala,Kottayam,Kanjirappally,Onion,Big,FAQ,19/08/2024,4500,5000,4800
Kerala,Kottayam,Kottayam,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,19/08/2024,8000,8800,8400
Kerala,Kottayam,Kottayam,Onion,Big,FAQ,19/08/2024,3600,4200,4000
Kerala,Kottayam,Kottayam,Potato,Potato,FAQ,19/08/2024,4000,4600,4200
Kerala,Kottayam,Pala,Potato,Potato,FAQ,19/08/2024,4200,4600,4400
Kerala,Kozhikode(Calicut),Perambra,Onion,Other,FAQ,19/08/2024,4300,4500,4400
Kerala,Kozhikode(Calicut),Quilandy,Potato,Other,FAQ,19/08/2024,4100,4200,4200
Kerala,Kozhikode(Calicut),Thamarassery,Potato,Other,FAQ,19/08/2024,3500,4200,3700
Kerala,Malappuram,Manjeri,Bengal Gram(Gram)(Whole),Bold,FAQ,19/08/2024,8200,8300,8250
Kerala,Malappuram,Manjeri,Potato,Other,FAQ,19/08/2024,3800,3900,3850
Kerala,Malappuram,Manjeri,Rice,Other,FAQ,19/08/2024,4600,4700,4650
Kerala,Palakad,Palakkad,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,19/08/2024,12000,13000,12600
Kerala,Palakad,Palakkad,Onion,Big,FAQ,19/08/2024,4400,5000,4800
Kerala,Palakad,Palakkad,Onion,Small,FAQ,19/08/2024,6800,8000,7500
Madhya Pradesh,Alirajpur,Alirajpur,Bengal Gram(Gram)(Whole),Gram,FAQ,19/08/2024,6000,6000,6000
Madhya Pradesh,Alirajpur,Alirajpur,Wheat,Wheat,FAQ,19/08/2024,2600,2600,2600
Madhya Pradesh,Dhar,Dhar,Wheat,Malwa Shakti,FAQ,19/08/2024,2650,2665,2665
Maharashtra,Sholapur,Akluj,Potato,Other,FAQ,19/08/2024,2500,3300,3000
Manipur,Bishnupur,Bishenpur,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,19/08/2024,7400,8000,7700
Manipur,Bishnupur,Bishenpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,19/08/2024,13500,14000,13750
Manipur,Imphal East,Lamlong Bazaar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,19/08/2024,14000,15000,14500
Manipur,Kakching,Kakching Market,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,19/08/2024,13500,14000,13750
Manipur,Kakching,Kakching Market,Potato,Other,FAQ,19/08/2024,4000,4500,4250
Manipur,Thoubal,Thoubal,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,19/08/2024,8500,9000,8750
Manipur,Thoubal,Thoubal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,19/08/2024,14500,15000,14750
Manipur,Thoubal,Thoubal,Onion,Other,FAQ,19/08/2024,5500,6000,5750
Manipur,Thoubal,Thoubal,Rice,Other,FAQ,19/08/2024,5300,5300,5300
Nagaland,Kohima,Kohima,Potato,Potato,FAQ,19/08/2024,5000,5200,5100
Nagaland,Mokokchung,Mokokchung Town,Onion,Other,FAQ,19/08/2024,4500,5500,5000
Odisha,Dhenkanal,Hindol,Onion,Other,FAQ,19/08/2024,3800,4200,4000
Punjab,Bhatinda,Bhucho,Onion,Other,FAQ,19/08/2024,1800,1900,1850
Punjab,Fatehgarh,Bassi Pathana,Onion,Onion,FAQ,19/08/2024,4000,4300,4200
Punjab,Hoshiarpur,Dasuya,Onion,Other,FAQ,19/08/2024,2800,3200,3000
Punjab,Hoshiarpur,Garh Shankar(Mahalpur),Onion,Onion,FAQ,19/08/2024,2500,3200,2800
Punjab,Jalandhar,Bilga,Onion,Other,FAQ,19/08/2024,2300,2500,2400
Punjab,Jalandhar,Phillaur(Apra Mandi),Onion,Other,FAQ,19/08/2024,4000,4000,4000
Punjab,Jalandhar,Phillaur(Apra Mandi),Potato,Other,FAQ,19/08/2024,2500,2500,2500
Punjab,Mohali,Lalru,Potato,Other,FAQ,19/08/2024,1800,2000,2000
Punjab,Sangrur,Sangrur,Onion,Onion,FAQ,19/08/2024,2000,3000,2500
Punjab,Tarntaran,Patti,Onion,Other,FAQ,19/08/2024,2400,2800,2600
Punjab,Tarntaran,Patti,Potato,Other,FAQ,19/08/2024,1000,1500,1200
Rajasthan,Ganganagar,Suratgarh,Onion,1st Sort,FAQ,19/08/2024,2800,3300,3000
Rajasthan,Ganganagar,Suratgarh,Wheat,Other,FAQ,19/08/2024,2410,2451,2430
Rajasthan,Hanumangarh,Goluwala,Potato,(Red Nanital),FAQ,19/08/2024,1800,1800,1800
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Onion,Bellary,Local,19/08/2024,4500,5200,5200
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Potato,(Red Nanital),Local,19/08/2024,4000,5200,5200
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4800,5400,5400
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,3800,4200,4200
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,6000,6000
Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,2500,3500,3500
Tamil Nadu,Coimbatore,Kurichi(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4200,4200
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,3800,4500,4500
Tamil Nadu,Cuddalore,Chidambaram(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,4500,4500
Tamil Nadu,Cuddalore,Panruti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,5000,5500,5500
Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,5000,5000,5000
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4500,5000,5000
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Dindigul,Vedasanthur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,5000,7000,7000
Tamil Nadu,Erode,Gobichettipalayam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5400,5400
Tamil Nadu,Erode,Thalavadi(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4600,4600
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5500,5500
Tamil Nadu,Kancheepuram,Kundrathur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,3500,4500,4500
Tamil Nadu,Krishnagiri,Avallapalli(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4000,4500,4500
Tamil Nadu,Krishnagiri,Kaveripattinam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4500,4500
Tamil Nadu,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4400,5400,5400
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4800,9000,9000
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4500,6500,6500
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4000,6500,6500
Tamil Nadu,Madurai,Usilampatty,Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Nagapattinam,Nagapattinam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,3000,3500,3500
Tamil Nadu,Nagapattinam,Sirkali(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,6000,6000,6000
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Potato,(Red Nanital),Local,19/08/2024,4800,5000,5000
Tamil Nadu,Namakkal,Mohanur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4400,4800,4800
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4500,4500
Tamil Nadu,Pudukkottai,Pudukottai(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Ramanathapuram,Paramakudi(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Ramanathapuram,Paramakudi(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,5500,6000,6000
Tamil Nadu,Ranipet,Arcot(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5000,5000
Tamil Nadu,Ranipet,Ranipettai(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4000,4000,4000
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,4800,5000,5000
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5600,5600
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5600,5600
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,5000,5000
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5600,5600
